English Term,Lemma,IPA,Russian Pronunciation,Russian Translation,POS Mode,Part of Speech (EN),Part of Speech (RU),Frequency
aba,aba,ˌeɪˌbiˈeɪ,эйбиэй,аба,wordnet,noun,существительное,1
abbreviation,abbreviation,əˌbriviˈeɪʃən,эбривиэйшн,аббревиатура,wordnet,noun,существительное,2
ability,ability,əˈbɪləˌti,эбилэти,способность,wordnet,noun,существительное,14
able,able,ˈeɪbəl,эйбл,способный,wordnet,adj,прилагательное,41
absence,absence,ˈæbsəns,эбснс,отсутствие,wordnet,noun,существительное,2
absent,absent,ˈæbsənt,эбснт,отсутствующий,wordnet,verb,глагол,1
absolute,absolute,ˈæbsəˌlut,эбслут,абсолютный,wordnet,noun,существительное,4
absorption,absorption,əbˈzɔrpʃən,эбзорпшн,поглощение,wordnet,noun,существительное,1
abstract,abstract,ˈæbˌstrækt,эбстрэкт,абстрактный,wordnet,noun,существительное,3
abstraction,abstraction,æbˈstrækʃən,эбстрэкшн,абстракция,wordnet,noun,существительное,18
abu,abu,ˈæbu,эбу,Абу,wordnet,,,1
abusing,abusing,əˈbjuzɪŋ,эбйузин,злоупотребление,wordnet,verb,глагол,1
aca,aca,ˈækə,экэ,ака,wordnet,,,2
accelerate,accelerate,ækˈsɛlərˌeɪt,эксэлэрэйт,ускоряться,wordnet,verb,глагол,2
accelerated,accelerated,ækˈsɛlərˌeɪtɪd,эксэлэрэйтид,ускоренный,wordnet,verb,глагол,2
accept,accept,əkˈsɛpt,эксэпт,принимать,wordnet,verb,глагол,20
acceptable,acceptable,əkˈsɛptəbəl,эксэптэбл,приемлемый,wordnet,adj,прилагательное,7
accepted,accepted,ækˈsɛptɪd,эксэптид,принял,wordnet,verb,глагол,1
accepting,accepting,əkˈsɛptɪŋ,эксэптин,принятие,wordnet,verb,глагол,3
accepts,accepts,ækˈsɛpts,эксэптс,принимает,wordnet,verb,глагол,6
access,access,ˈækˌsɛs,эксэс,доступ,wordnet,noun,существительное,59
accessed,accessed,ˈækˌsɛst,эксэст,доступ,wordnet,verb,глагол,1
accessible,accessible,ækˈsɛsəbəl,эксэсэбл,доступный,wordnet,adj,прилагательное,6
accessing,accessing,ˈækˌsɛsɪŋ,эксэсин,доступ,wordnet,verb,глагол,7
accident,accident,ˈæksədənt,эксэднт,несчастный случай,wordnet,noun,существительное,1
accidentally,accidentally,ˌæksəˈdɛnəli,эксэдэнли,случайно,wordnet,adv,наречие,1
accommodate,accommodate,əˈkɑməˌdeɪt,экамэдэйт,разместить,wordnet,verb,глагол,10
accommodating,accommodating,əˈkɑməˌdeɪtɪŋ,экамэдэйтин,любезный,wordnet,verb,глагол,1
